TIER_3_OPERATING_HOURS_SUB,FACILITY_ID,REPORTING_YEAR,FACILITY_NAME,UNIT_NAME,FUEL_TYPE,FUEL_TYPE_BLEND,TIER_1_METHOD_EQUATION,TIER_1_START_DATE,TIER_1_END_DATE,TIER_1_CO2_EMISSIONS,TIER_1_CH4_EMISSIONS,TIER_1_N2O_EMISSIONS,TIER_1_CH4_EMISSIONS_CO2E,TIER_1_N2O_EMISSIONS_CO2E,TIER_2_METHOD_EQUATION,TIER_2_START_DATE,TIER_2_END_DATE,TIER_2_HHV_DETERMIN_FREQUENCY,TIER2_HHV_DETERMIN_FREQ_OTH,TIER_2_CO2_EMISSIONS,TIER_2_CH4_EMISSIONS,TIER_2_N2O_EMISSIONS,TIER_2_CH4_EMISSIONS_CO2E,TIER_2_N2O_EMISSIONS_CO2E,TIER_3_METHOD_EQUATION,TIER_3_START_DATE,TIER_3_END_DATE,TIER3_CARBON_DETERMIN_FREQUENC,TIER3_CARBON_DETERMIN_NUM_SUB,TIER3_CARBON_DETERMIN_NUM_VALI,TIER3_MOL_DETERMIN_FREQ,TIER3_MOL_DETERMIN_FREQ_OTHER,TIER3_MOL_DETERMIN_NUMBER,TIER3_MOL_DETERMIN_NUM_VALID,TIER_3_CO2_EMISSIONS,TIER_3_CH4_EMISSIONS,TIER_3_N2O_EMISSIONS,TIER_3_CH4_EMISSIONS_CO2E,TIER_3_N2O_EMISSIONS_CO2E,PCT_HEAT_INPUT_COMBUSTED,PCT_HEAT_INPUT_COMBUSTED_IND,PCT_HEAT_INPUT_COMBUSTED_SUB
,1000196,2011,International Paper - Pensacola Mill,No. 2 Recovery Boiler,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2011-01-01-00:0,2011-12-31-00:0,Monthly,,7377.5,0.14,0.014,2.9,4.3,,,,,,,,,,,,,,,,,,
,1000228,2011,International Paper - New Bern Mill,Lime Kiln,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2011-01-01-00:0,2011-12-31-00:0,Daily,,29318.3,1.49,0.0,31.3,0.0,,,,,,,,,,,,,,,,,,
,1000228,2011,International Paper - New Bern Mill,Lime Kiln,Residual Fuel Oil No. 6,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,5466.1,0.2,0.0,4.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000228,2011,International Paper - New Bern Mill,Recovery Furnace,Liquefied petroleum gases (LPG),,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,311.5,0.01,0.003,0.2,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000228,2011,International Paper - New Bern Mill,Recovery Furnace,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2011-01-01-00:0,2011-12-31-00:0,Daily,,9141.1,0.17,0.017,3.6,5.3,,,,,,,,,,,,,,,,,,
,1000228,2011,International Paper - New Bern Mill,Recovery Furnace,Residual Fuel Oil No. 6,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,6246.5,0.25,0.05,5.3,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000229,2011,Domtar Paper Company LLC - Plymouth,Lime Kiln,Residual Fuel Oil No. 6,,,,,,,,,,Tier 2 (Equation C-2,2011-01-01-00:0,2011-12-31-00:0,Monthly,,59964.1,2.16,0.0,45.3,0.0,,,,,,,,,,,,,,,,,,
,1000229,2011,Domtar Paper Company LLC - Plymouth,No. 5 Recovery Furnace,Distillate Fuel Oil No. 2,,,,,,,,,,Tier 2 (Equation C-2,2011-01-01-00:0,2011-12-31-00:0,Monthly,,7264.3,0.29,0.059,6.2,18.3,,,,,,,,,,,,,,,,,,
,1000230,2011,Blue Ridge Paper Products Inc.,Lime Kiln No.4,Propane,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,84.2,0.0,0.001,0.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000230,2011,Blue Ridge Paper Products Inc.,Lime Kiln No.4,Residual Fuel Oil No. 6,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,22675.2,0.82,0.0,17.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000230,2011,Blue Ridge Paper Products Inc.,Lime Kiln No.5,Propane,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,74.5,0.0,0.001,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000230,2011,Blue Ridge Paper Products Inc.,Lime Kiln No.5,Residual Fuel Oil No. 6,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,34577.2,1.24,0.0,26.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000230,2011,Blue Ridge Paper Products Inc.,Recovery Furnace No.10,Propane,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,7.2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000230,2011,Blue Ridge Paper Products Inc.,Recovery Furnace No.10,Residual Fuel Oil No. 6,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,7277.9,0.29,0.058,6.1,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000230,2011,Blue Ridge Paper Products Inc.,Recovery Furnace No.11,Propane,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,21.4,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000230,2011,Blue Ridge Paper Products Inc.,Recovery Furnace No.11,Residual Fuel Oil No. 6,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,4205.7,0.17,0.034,3.5,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000256,2011,"WestRock Virginia, Covington",No. 1 Recovery Furnace REC001,Residual Fuel Oil No. 6,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,15255.6,0.61,0.122,12.8,37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000256,2011,"WestRock Virginia, Covington",No. 2 Lime Kiln REC047,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2011-01-01-00:0,2011-12-31-00:0,Monthly,,63866.4,3.25,0.0,68.3,0.0,,,,,,,,,,,,,,,,,,
,1000256,2011,"WestRock Virginia, Covington",No. 2 Lime Kiln REC047,Residual Fuel Oil No. 6,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,151.2,0.01,0.0,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000256,2011,"WestRock Virginia, Covington",No. 2 Recovery Furnace REC010,Residual Fuel Oil No. 6,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,4974.9,0.2,0.04,4.2,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000262,2011,"WestRock Coated Board, LLC",No. 1 Lime Kiln,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2011-01-01-00:0,2011-12-31-00:0,Monthly,,38162.9,1.94,0.072,40.7,22.3,,,,,,,,,,,,,,,,,,
,1000262,2011,"WestRock Coated Board, LLC",No 1. Recovery Furnace,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2011-01-01-00:0,2011-12-31-00:0,Monthly,,2966.0,0.06,0.006,1.3,1.9,,,,,,,,,,,,,,,,,,
,1000262,2011,"WestRock Coated Board, LLC",No. 2 Lime Kiln,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2011-01-01-00:0,2011-12-31-00:0,Monthly,,34715.9,1.77,0.065,37.2,20.2,,,,,,,,,,,,,,,,,,
,1000262,2011,"WestRock Coated Board, LLC",No. 2 Recovery Furnace,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2011-01-01-00:0,2011-12-31-00:0,Monthly,,545.6,0.01,0.001,0.2,0.3,,,,,,,,,,,,,,,,,,
,1000273,2011,"GP Big Island, LLC",REC 13,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2011-01-01-00:0,2011-12-31-00:0,Monthly,,1286.0,0.02,0.0,0.4,0.0,,,,,,,,,,,,,,,,,,
,1000305,2011,Resolute Forest Product - Coosa Pines Operation,Z003,Distillate Fuel Oil No. 2,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,8491.8,0.34,0.069,7.2,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000305,2011,Resolute Forest Product - Coosa Pines Operation,Z032,Natural Gas (Weighted U.S. Average),,"Tier 1 (Equation C-1b, natural gas billing in mmBtu)",2011-01-01-00:0,2011-12-31-00:0,28313.4,1.44,0.053,30.3,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000311,2011,Resolute Forest Products Calhoun Operation,Lime Kiln,Natural Gas (Weighted U.S. Average),,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,39646.0,2.02,0.0,42.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000311,2011,Resolute Forest Products Calhoun Operation,No. 3 Recovery Furnace,Natural Gas (Weighted U.S. Average),,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,19466.0,0.37,0.04,7.8,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000319,2011,"WestRock CP, LLC - Florence Mill",LK1,Natural Gas (Weighted U.S. Average),,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,24190.0,1.0,0.0,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000319,2011,"WestRock CP, LLC - Florence Mill",LK1,Residual Fuel Oil No. 6,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,190.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000319,2011,"WestRock CP, LLC - Florence Mill",LK2,Natural Gas (Weighted U.S. Average),,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,23784.0,1.0,0.0,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000319,2011,"WestRock CP, LLC - Florence Mill",LK2,Residual Fuel Oil No. 6,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,426.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000319,2011,"WestRock CP, LLC - Florence Mill",RF1,Residual Fuel Oil No. 6,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,1296.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000324,2011,Marlboro Paper Mill,Lime Kiln,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2011-01-01-00:0,2011-12-31-00:0,Daily,,27306.9,1.32,0.0,27.7,0.0,,,,,,,,,,,,,,,,,,
,1000324,2011,Marlboro Paper Mill,Lime Kiln,Petroleum Coke,,,,,,,,,,Tier 2 (Equation C-2,2011-01-01-00:0,2011-12-31-00:0,Other (specify),per shipment,15200.2,0.45,0.089,9.4,27.6,,,,,,,,,,,,,,,,,,
,1000324,2011,Marlboro Paper Mill,Recovery Boiler,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2011-01-01-00:0,2011-12-31-00:0,Daily,,538.3,0.01,0.001,0.2,0.3,,,,,,,,,,,,,,,,,,
,1000345,2011,"Foley Cellulose, LLC",No. 2 Recovery Boiler,Residual Fuel Oil No. 6,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,4477.3,0.18,0.036,3.8,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000345,2011,"Foley Cellulose, LLC",No. 3 Recovery Boiler,Residual Fuel Oil No. 6,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,3654.4,0.15,0.029,3.2,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000345,2011,"Foley Cellulose, LLC",No. 4 Lime Kiln,Natural Gas (Weighted U.S. Average),,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,73763.5,3.76,0.0,79.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000345,2011,"Foley Cellulose, LLC",No. 4 Lime Kiln,Residual Fuel Oil No. 6,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,635.5,0.02,0.0,0.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000345,2011,"Foley Cellulose, LLC",No. 4 Recovery Boiler,Natural Gas (Weighted U.S. Average),,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,4008.3,0.08,0.008,1.7,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000345,2011,"Foley Cellulose, LLC",No. 4 Recovery Boiler,Residual Fuel Oil No. 6,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,906.2,0.04,0.007,0.8,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000348,2011,Resolute FP US Inc. - Catawba Operations,07-2505,Residual Fuel Oil No. 6,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,3403.7,0.14,0.03,2.9,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000348,2011,Resolute FP US Inc. - Catawba Operations,07-2723,Natural Gas (Weighted U.S. Average),,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,42870.4,2.07,0.0,43.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000348,2011,Resolute FP US Inc. - Catawba Operations,07-2723,Residual Fuel Oil No. 6,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,129.2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000348,2011,Resolute FP US Inc. - Catawba Operations,07-5105,Natural Gas (Weighted U.S. Average),,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,82.5,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000348,2011,Resolute FP US Inc. - Catawba Operations,07-5105,Residual Fuel Oil No. 6,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,2916.3,0.12,0.02,2.5,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000353,2011,Sonoco Products Co.,Chemical Recovery Kiln,Natural Gas (Weighted U.S. Average),,"Tier 1 (Equation C-1a, natural gas billing in therms)",2011-01-01-00:0,2011-12-31-00:0,1693.0,0.03,0.003,0.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000377,2011,International Paper-Courtland Mill,Lime Kiln 1,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2011-01-01-00:0,2011-12-31-00:0,Monthly,,19177.0,1.0,0.0,21.0,0.0,,,,,,,,,,,,,,,,,,
,1000377,2011,International Paper-Courtland Mill,Lime Kiln 2,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2011-01-01-00:0,2011-12-31-00:0,Monthly,,29089.0,1.5,0.0,31.5,0.0,,,,,,,,,,,,,,,,,,
,1000377,2011,International Paper-Courtland Mill,Lime Kiln 3,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2011-01-01-00:0,2011-12-31-00:0,Monthly,,32253.0,1.6,0.0,33.6,0.0,,,,,,,,,,,,,,,,,,
,1000377,2011,International Paper-Courtland Mill,Recovery 2,Distillate Fuel Oil No. 2,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,457.0,0.02,0.0,0.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000377,2011,International Paper-Courtland Mill,Recovery 2,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2011-01-01-00:0,2011-12-31-00:0,Monthly,,4535.0,0.1,0.0,2.1,0.0,,,,,,,,,,,,,,,,,,
,1000377,2011,International Paper-Courtland Mill,Recovery 3,Distillate Fuel Oil No. 2,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,455.0,0.02,0.0,0.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000377,2011,International Paper-Courtland Mill,Recovery 3,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2011-01-01-00:0,2011-12-31-00:0,Monthly,,3919.0,0.07,0.0,1.5,0.0,,,,,,,,,,,,,,,,,,
,1000426,2011,KapStone Charleston Kraft LLC,No. 1 Recovery Boiler/REC004,Residual Fuel Oil No. 6,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,8084.9,0.32,0.065,6.8,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000426,2011,KapStone Charleston Kraft LLC,No. 4 Lime Kiln/CP001,Residual Fuel Oil No. 6,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,3335.1,0.13,0.001,2.8,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000426,2011,KapStone Charleston Kraft LLC,No. 5 Lime Kiln/CP002,Natural Gas (Weighted U.S. Average),,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,48846.8,0.92,0.092,19.3,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000426,2011,KapStone Charleston Kraft LLC,No. 5 Lime Kiln/CP002,Residual Fuel Oil No. 6,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,8620.5,0.34,0.069,7.2,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000426,2011,KapStone Charleston Kraft LLC,No. 9 Recovery Boiler/REC007,Residual Fuel Oil No. 6,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,5300.4,0.21,0.042,4.5,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000434,2011,International Paper - Vicksburg Mill,LK1 (AA003),Coke,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,2040.8,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000434,2011,International Paper - Vicksburg Mill,LK1 (AA003),Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2011-01-01-00:0,2011-12-31-00:0,Monthly,,20850.1,1.06,,22.3,,,,,,,,,,,,,,,,,,,
,1000434,2011,International Paper - Vicksburg Mill,RB1 (AA005),Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2011-01-01-00:0,2011-12-31-00:0,Monthly,,5787.9,0.11,0.011,2.3,3.4,,,,,,,,,,,,,,,,,,
,1000593,2011,VERSO ANDROSCOGGIN LLC,A Lime Kiln,Propane,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,12.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000593,2011,VERSO ANDROSCOGGIN LLC,A Lime Kiln,Used Oil,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,37076.0,1.4,0.0,29.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000593,2011,VERSO ANDROSCOGGIN LLC,B Lime Kiln,Propane,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,12.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000593,2011,VERSO ANDROSCOGGIN LLC,B Lime Kiln,Used Oil,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,37552.0,1.4,0.0,29.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000593,2011,VERSO ANDROSCOGGIN LLC,Recovery Boiler 1,Distillate Fuel Oil No. 2,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,158.0,0.01,0.001,0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000593,2011,VERSO ANDROSCOGGIN LLC,Recovery Boiler 1,Used Oil,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,2871.0,0.12,0.023,2.4,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000593,2011,VERSO ANDROSCOGGIN LLC,Recovery Boiler 2,Distillate Fuel Oil No. 2,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,43.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000593,2011,VERSO ANDROSCOGGIN LLC,Recovery Boiler 2,Used Oil,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,9762.0,0.4,0.079,8.4,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000602,2011,"GRAPHIC PACKAGING INTERNATIONAL LLC, West Monroe Mill Plant 31",No. 1 Lime Kiln (L04002),Natural Gas (Weighted U.S. Average),,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,26472.5,1.35,0.0,28.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000602,2011,"GRAPHIC PACKAGING INTERNATIONAL LLC, West Monroe Mill Plant 31",No. 2 Lime Kiln (L04003),Natural Gas (Weighted U.S. Average),,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,23597.2,1.2,0.0,25.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000602,2011,"GRAPHIC PACKAGING INTERNATIONAL LLC, West Monroe Mill Plant 31",No. 4 Recovery Boiler (L03004/L03005),Natural Gas (Weighted U.S. Average),,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,3279.3,0.06,0.006,1.3,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000602,2011,"GRAPHIC PACKAGING INTERNATIONAL LLC, West Monroe Mill Plant 31",No. 5 Recovery Boiler (L03007/L03008),Natural Gas (Weighted U.S. Average),,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,3778.0,0.07,0.007,1.5,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000624,2011,WestRock Tacoma Mill,Lime kilns,Natural Gas (Weighted U.S. Average),,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,39221.0,2.0,0.0,42.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000624,2011,WestRock Tacoma Mill,Lime kilns,Other Oil (>401 deg F),,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,5809.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000624,2011,WestRock Tacoma Mill,Recovery Boiler #4,Other Oil (>401 deg F),,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,11878.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
